"","time","rate.estimate","localization.estimate","rate.estimate.lower","rate.estimate.upper"
"1",2022-04-15 17:00:00,5390.8884309226,"Tanks",3711.91939326889,6844.7152395719
"2",2022-04-15 17:30:00,12504.3964195884,"Tanks",6841.78033601721,20260.4772424538
"3",2022-04-15 18:00:00,8815.67534312278,"Tanks",4247.55860603666,14282.099254111
