timestamp,N,NE,E,SE,S,SW,W,NW
2022-04-15 16:42:00-06:00,0.0190121918968568,1.3529181501689752e-10,0.0,0.0,0.0,0.0,1.2449027807751297e-10,0.14770434310633498
2022-04-15 16:43:00-06:00,0.0034457738841427747,0.0,0.0,0.0,0.0,0.0,1.679526453917162e-05,0.5065651443220076
2022-04-15 16:44:00-06:00,0.018704462423252164,1.59956763480504e-08,0.0,0.0,0.0,0.0,0.00014489107713156564,0.5177407371669316
2022-04-15 16:45:00-06:00,0.18454298241334424,1.6954768222108475e-07,0.0,0.0,0.0,0.0,1.7647412855937531e-06,0.08509178936335483
2022-04-15 16:46:00-06:00,0.7099465685689439,5.362473987170673e-06,0.0,0.0,0.0,0.0,0.0,0.0021985316512348942
2022-04-15 16:47:00-06:00,0.6958691976980897,1.1326203093859792e-05,0.0,0.0,0.0,0.0,0.0,0.0008625466730703754
2022-04-15 16:48:00-06:00,0.5112046108723968,2.679577146341807e-05,0.0,0.0,0.0,0.0,3.26758251112364e-10,0.008926527340296385
2022-04-15 16:49:00-06:00,0.6989678218226,0.0001246203999154793,0.0,0.0,0.0,0.0,5.071053626834911e-10,0.013423527883449016
2022-04-15 16:50:00-06:00,0.683562230567311,0.00017154087970594391,0.0,0.0,0.0,0.0,5.074404787669437e-10,0.015173207340329427
2022-04-15 16:51:00-06:00,0.21004034659132273,1.692000126414559e-05,0.0,0.0,0.0,0.0,2.0923379880095363e-07,0.1244519254461751
2022-04-15 16:52:00-06:00,0.018440151911761425,1.5272964375933983e-07,0.0,0.0,0.0,0.0,3.677807803359058e-05,0.5212021715951612
2022-04-15 16:53:00-06:00,0.026863640935106774,1.9466005852737748e-07,0.0,0.0,0.0,0.0,2.1961245201983093e-05,0.5004891906537732
2022-04-15 16:54:00-06:00,0.00446856517342761,5.85560445500728e-09,0.0,0.0,0.0,0.0,2.763562060666661e-05,0.5194715818820232
2022-04-15 16:55:00-06:00,0.0498479333672329,9.102969551413598e-10,0.0,0.0,0.0,0.0,4.3192496416211107e-13,0.11319037545383451
2022-04-15 16:56:00-06:00,0.08690684478108866,1.447131949622925e-08,0.0,0.0,0.0,0.0,0.0,0.07136052818938583
2022-04-15 16:57:00-06:00,0.009304152157799407,1.4260217514671334e-09,0.0,0.0,0.0,0.0,1.5010168285433254e-05,0.3560416483415063
2022-04-15 16:58:00-06:00,0.001360090457574578,2.776337755556889e-10,0.0,0.0,3.3384380266498878e-12,5.602445555580272e-09,0.002035266913863178,0.5229346562370877
2022-04-15 16:59:00-06:00,0.012131203620028732,3.5937366506858707e-09,0.0,0.0,1.752156850252966e-12,1.9174124906905006e-09,0.00018324722928610894,0.5193587883589345
2022-04-15 17:00:00-06:00,0.016458057883158437,9.83484885657122e-08,0.0,0.0,0.0,0.0,6.94285370665913e-05,0.5882727604237197
2022-04-15 17:01:00-06:00,0.00032618617462514454,2.6521296471795497e-10,0.0,0.0,9.773000567902931e-12,3.334873619944442e-08,0.007652394670689333,0.33644483067496794
2022-04-15 17:02:00-06:00,3.8308225650134374e-05,0.0,0.0,0.0,1.210958784825768e-12,4.089998163196371e-08,0.00539941779517027,0.15507232147510044
2022-04-15 17:03:00-06:00,0.0004687591852892613,0.0,0.0,0.0,3.1134483157074244e-12,4.42891280791378e-09,0.002645132484358619,0.38658258439529297
2022-04-15 17:04:00-06:00,3.9061221989439076e-05,0.0,0.0,0.0,9.212939352183264e-12,5.619018414987805e-07,0.05256790017976933,0.1114053725932269
2022-04-15 17:05:00-06:00,2.4219461377515457e-05,0.0,0.0,0.0,2.053923544385271e-07,0.0005697035672552994,0.3556239181450348,0.01697791084339496
2022-04-15 17:06:00-06:00,0.00031450315439568796,0.0,0.0,0.0,3.3669843109559647e-07,0.00044508490826788164,0.2929532968109848,0.09514486024286528
2022-04-15 17:07:00-06:00,0.006635584623543665,2.2390875577591747e-07,0.0,5.136542733795234e-13,7.319546942792043e-08,2.2084459855521762e-05,0.02001777703062302,0.7086130559487518
2022-04-15 17:08:00-06:00,0.020598027424362515,9.226031470502742e-08,0.0,3.9010637888466966e-12,3.2806268197090334e-09,1.5194155425097617e-07,0.0001305450392260675,0.49264408835195145
2022-04-15 17:09:00-06:00,0.08008533736691154,8.470394538107613e-07,0.0,0.0,0.0,0.0,3.853330215368669e-06,0.303187933242494
2022-04-15 17:10:00-06:00,0.02360539545742467,2.6910124935170483e-07,0.0,0.0,0.0,0.0,2.4514872132093834e-05,0.5587197182580906
2022-04-15 17:11:00-06:00,0.0018352952131741932,2.5708516181789985e-09,0.0,0.0,0.0,0.0,0.0017711583634445304,0.5155885482851731
2022-04-15 17:12:00-06:00,2.072900356979895e-05,0.0,0.0,0.0,5.987605729965387e-12,8.395592614734537e-06,0.18307971964939151,0.05796108069021792
2022-04-15 17:13:00-06:00,7.6499096803965e-08,0.0,0.0,0.0,0.0,0.00022225204512576265,0.486749206946341,0.001093029099127125
2022-04-15 17:14:00-06:00,4.469816793524675e-08,0.0,0.0,0.0,0.0,0.00022697917467758884,0.4158600677409774,0.0006651732034767741
2022-04-15 17:15:00-06:00,1.6189919611938793e-08,0.0,0.0,0.0,0.0,0.0007763398141984402,0.4467645100684912,0.00022204213157193131
2022-04-15 17:16:00-06:00,2.6952113556417338e-08,0.0,0.0,0.0,0.0,0.00015463884516613805,0.44479485248143896,0.0004125391864440604
2022-04-15 17:17:00-06:00,1.49456700601294e-07,0.0,0.0,0.0,0.0,0.0001023394333885133,0.37660721591816826,0.0021427422136409253
