lon,lat,height,name
-105.1397824,40.5954448,2.4,S
-105.1402488,40.596109,2.4,NW
-105.1393985,40.5954471,2.4,SE
-105.13914,40.59571,2.4,E
-105.1398726,40.5961031,2.4,N
-105.1405673,40.5957826,2.4,W
-105.1402092,40.595471,2.4,SW
-105.1394702,40.59610265,2.4,NE
